ColumnName,ID,Description
CITY_ID,346,PRAIRIE VIEW
CITY_ID,347,PREMONT
CITY_ID,348,PRESIDIO
CITY_ID,349,PRIMERA
CITY_ID,350,PRINCETON
CITY_ID,351,PROGRESO
CITY_ID,352,QUANAH
CITY_ID,353,RANGER
CITY_ID,354,RAYMONDVILLE
CITY_ID,355,RED OAK
CITY_ID,356,REFUGIO
CITY_ID,357,RICHARDSON
CITY_ID,358,RICHLAND HILLS
CITY_ID,359,RICHMOND
CITY_ID,360,RICHWOOD
CITY_ID,361,RIO BRAVO
CITY_ID,362,RIO GRANDE CITY
CITY_ID,363,RIVER OAKS
CITY_ID,364,ROANOKE
CITY_ID,365,ROBINSON
CITY_ID,366,ROBSTOWN
CITY_ID,367,ROCKDALE
CITY_ID,368,ROCKPORT
CITY_ID,369,ROCKWALL
CITY_ID,370,ROMA
CITY_ID,371,ROSENBERG
CITY_ID,372,ROUND ROCK
CITY_ID,373,ROWLETT
CITY_ID,374,ROYSE CITY
CITY_ID,375,RUSK
CITY_ID,376,SACHSE
CITY_ID,377,SAGINAW
CITY_ID,378,SAN ANGELO
CITY_ID,379,SAN ANTONIO
CITY_ID,380,SAN BENITO
CITY_ID,381,SAN DIEGO
CITY_ID,382,SAN JUAN
CITY_ID,383,SAN MARCOS
CITY_ID,384,SAN SABA
CITY_ID,385,SANGER
CITY_ID,386,SANSOM PARK
CITY_ID,387,SANTA FE
CITY_ID,388,SANTA ROSA
CITY_ID,389,SCHERTZ
CITY_ID,390,SCHULENBURG
CITY_ID,391,SEABROOK
CITY_ID,392,SEAGOVILLE
CITY_ID,393,SEALY
CITY_ID,394,SEGUIN
CITY_ID,395,SEMINOLE
CITY_ID,396,SEYMOUR
CITY_ID,397,SHERMAN
CITY_ID,398,SILSBEE
CITY_ID,399,SINTON
CITY_ID,400,SLATON
CITY_ID,401,SMITHVILLE
CITY_ID,402,SNYDER
CITY_ID,403,SOCORRO
CITY_ID,404,SONORA
CITY_ID,405,SOUTH HOUSTON
CITY_ID,406,SOUTHLAKE
CITY_ID,407,SPEARMAN
CITY_ID,408,SPRING VALLEY
CITY_ID,409,STAFFORD
CITY_ID,410,STAMFORD
CITY_ID,411,STANTON
CITY_ID,412,STEPHENVILLE
CITY_ID,413,SUGAR LAND
CITY_ID,414,SULLIVAN CITY
CITY_ID,415,SULPHUR SPRINGS
CITY_ID,416,SUNNYVALE
CITY_ID,417,SWEENY
CITY_ID,418,SWEETWATER
CITY_ID,419,TAFT
CITY_ID,420,TAHOKA
CITY_ID,421,TAYLOR
CITY_ID,422,TAYLOR LAKE VILLAGE
CITY_ID,423,TEAGUE
CITY_ID,424,TEMPLE
CITY_ID,425,TERRELL
CITY_ID,426,TERRELL HILLS
CITY_ID,427,TEXARKANA
CITY_ID,428,TEXAS CITY
